,Start_Year,Semester,Major,Department,End_Year,1st_Year,TOTAL,SHS-ABM_lag_1,SHS-GenAcad_lag_1,SHS-HUMSS_lag_1,SHS-STEM_lag_1,SHS-TVL-HE_lag_1,SHS-TVL-ICT_lag_1,TOTAL_lag_1,1st_Year_lag_1,1st_Year_rolling_std_lag_1
252,2019,1,Accountancy,SBA,2020,677.0,1486,364.0,294.0,170.0,677.0,186.0,0.0,993.0,695.0,4.04145188432643
253,2019,1,Architecture,SEA,2020,243.0,764,364.0,294.0,170.0,677.0,186.0,0.0,745.0,236.0,383.9587651471618
254,2019,1,BA Comm,SAS,4040,122.0,241,364.0,294.0,170.0,677.0,186.0,0.0,205.0,114.0,335.8586011999693
255,2019,1,BEEd,SED,2020,17.0,34,364.0,294.0,170.0,677.0,186.0,0.0,61.0,14.0,291.8395677993876
256,2019,1,BForensicSci,CCJEF,2020,47.0,49,364.0,294.0,170.0,677.0,186.0,0.0,3.0,3.0,113.09435588628338
257,2019,1,BPEd,SED,2020,13.0,27,364.0,294.0,170.0,677.0,186.0,0.0,39.0,14.0,54.08326913195959
258,2019,1,BS Criminology,CCJEF,2020,83.0,175,364.0,294.0,170.0,677.0,186.0,0.0,181.0,77.0,18.58314648635418
259,2019,1,BS MedTech,SNAMS,2020,52.0,88,364.0,294.0,170.0,677.0,186.0,0.0,97.0,35.0,35.004761580866436
260,2019,1,BSAcctgInfoSys,SBA,4040,3.0,56,364.0,294.0,170.0,677.0,186.0,0.0,623.0,1.0,35.07610772781529
261,2019,1,BSAeronautical,SEA,2020,524.0,1118,364.0,294.0,170.0,677.0,186.0,0.0,755.0,411.0,40.33608806019703
262,2019,1,BSBA HRDM,SBA,2020,2.0,7,364.0,294.0,170.0,677.0,186.0,0.0,24.0,0.0,287.69949600233923
263,2019,1,BSBA-FinMgmt,SBA,2020,36.0,47,364.0,294.0,170.0,677.0,186.0,0.0,13.0,13.0,301.08858054289163
264,2019,1,BSBA-HRM,SBA,2020,0.0,1,364.0,294.0,170.0,677.0,186.0,0.0,2.0,0.0,292.05707204814155
265,2019,1,BSBA-HRMgmt,SBA,2020,19.0,36,364.0,294.0,170.0,677.0,186.0,0.0,20.0,20.0,20.23198787398986
266,2019,1,BSBA-MktgMgmt,SBA,2020,65.0,164,364.0,294.0,170.0,677.0,186.0,0.0,179.0,81.0,18.009256878985177
267,2019,1,BSBALegal,SBA,2020,0.0,3,364.0,294.0,170.0,677.0,186.0,0.0,17.0,0.0,33.42154993413599
268,2019,1,BSCompsci,SOC,2020,75.0,134,364.0,294.0,170.0,677.0,186.0,0.0,115.0,63.0,33.42154993413599
269,2019,1,BSCulinary,SHTM,2020,3.0,37,364.0,294.0,170.0,677.0,186.0,0.0,125.0,31.0,40.722639076234806
270,2019,1,BSED-RelValEd,SED,4040,10.0,23,364.0,294.0,170.0,677.0,186.0,0.0,30.0,17.0,42.46174749112364
271,2019,1,BSEMC-DA,SOC,4040,86.0,172,364.0,294.0,170.0,677.0,186.0,0.0,144.0,63.0,39.70306453327349
272,2019,1,BSHM-Accomm,SHTM,2020,38.0,71,364.0,294.0,170.0,677.0,186.0,0.0,2.0,2.0,46.03259714593504
273,2019,1,BSHM-Culinary,SHTM,2020,60.0,97,364.0,294.0,170.0,677.0,186.0,0.0,7.0,6.0,38.43609414773157
274,2019,1,BSHM-RestFood,SHTM,2020,44.0,65,364.0,294.0,170.0,677.0,186.0,0.0,1.0,1.0,24.027761721252602
275,2019,1,BSHRM,SHTM,2020,5.0,130,364.0,294.0,170.0,677.0,186.0,0.0,296.0,70.0,11.37248140615258
276,2019,1,BSITNetAdmin,SOC,2020,70.0,166,364.0,294.0,170.0,677.0,186.0,0.0,224.0,30.0,28.29016319029075
277,2019,1,BSITWebdev,SOC,2020,95.0,201,364.0,294.0,170.0,677.0,186.0,0.0,202.0,82.0,32.715949219505816
278,2019,1,BSNEd,SED,4040,9.0,23,364.0,294.0,170.0,677.0,186.0,0.0,35.0,12.0,46.45786621588738
279,2019,1,BSNursing,SNAMS,2020,93.0,132,364.0,294.0,170.0,677.0,186.0,0.0,81.0,47.0,44.237992721188846
280,2019,1,BSPsychology,SAS,2020,168.0,287,364.0,294.0,170.0,677.0,186.0,0.0,235.0,117.0,49.08496035786617
281,2019,1,BSRadTech,SNAMS,2020,30.0,45,364.0,294.0,170.0,677.0,186.0,0.0,39.0,14.0,79.54244150137691
282,2019,1,BSTM-DestMgmt,SHTM,2020,11.0,50,364.0,294.0,170.0,677.0,186.0,0.0,21.0,21.0,69.08690179766329
283,2019,1,BSTM-Events,SHTM,4040,8.0,20,364.0,294.0,170.0,677.0,186.0,0.0,18.0,10.0,85.68741642349416
284,2019,1,BSTM-Travel,SHTM,2020,185.0,258,364.0,294.0,170.0,677.0,186.0,0.0,4.0,4.0,11.930353445446547
285,2019,1,BSTourism,SHTM,2020,7.0,70,364.0,294.0,170.0,677.0,186.0,0.0,290.0,102.0,101.33607452432703
286,2019,1,Biological,SED,2020,0.0,1,364.0,294.0,170.0,677.0,186.0,0.0,29.0,0.0,102.48089252798931
287,2019,1,BusMgt,SBA,2020,188.0,415,364.0,294.0,170.0,677.0,186.0,0.0,508.0,180.0,104.84750831564841
288,2019,1,CE,SEA,2020,387.0,1093,364.0,294.0,170.0,677.0,186.0,0.0,978.0,379.0,106.57860948614389
289,2019,1,Comp. Eng'g.,SEA,2020,39.0,140,364.0,294.0,170.0,677.0,186.0,0.0,146.0,54.0,193.52605337094366
290,2019,1,EE,SEA,2020,79.0,236,364.0,294.0,170.0,677.0,186.0,0.0,196.0,52.0,174.59763266818177
291,2019,1,ELECENG,SEA,2020,60.0,220,364.0,294.0,170.0,677.0,186.0,0.0,233.0,53.0,190.42408811212232
292,2019,1,English-BSED,SED,2020,39.0,62,364.0,294.0,170.0,677.0,186.0,0.0,64.0,30.0,20.008331597943954
293,2019,1,Fil-BSED,SED,2020,9.0,23,364.0,294.0,170.0,677.0,186.0,0.0,31.0,13.0,20.008331597943954
294,2019,1,IE,SEA,2020,37.0,163,364.0,294.0,170.0,677.0,186.0,0.0,159.0,35.0,25.63201123595146
295,2019,1,ME,SEA,2020,118.0,455,364.0,294.0,170.0,677.0,186.0,0.0,481.0,116.0,16.77299416721036
296,2019,1,Math,SED,2020,3.0,16,364.0,294.0,170.0,677.0,186.0,0.0,30.0,13.0,56.60683115431636
297,2019,1,Science-BSED,SED,2020,11.0,21,364.0,294.0,170.0,677.0,186.0,0.0,8.0,8.0,59.07904309764403
298,2019,1,SocialStud-BSED,SED,2020,13.0,32,364.0,294.0,170.0,677.0,186.0,0.0,38.0,16.0,64.21059102671417
