,Start_Year,Semester,Major,1st_Year_lag_1,Total_1st_Year_Students_lag_1,Percentage_Distribution_lag_1
0,2019,1,Accountancy,695.0,3355.0,20.715350223546945
1,2019,1,Architecture,236.0,3355.0,7.034277198211624
2,2019,1,BA Comm,114.0,3355.0,3.397913561847988
3,2019,1,BEEd,14.0,3355.0,0.4172876304023845
4,2019,1,BForensicSci,3.0,3355.0,0.08941877794336811
5,2019,1,BPEd,14.0,3355.0,0.4172876304023845
6,2019,1,BS Criminology,77.0,3355.0,2.2950819672131146
7,2019,1,BS MedTech,35.0,3355.0,1.0432190760059614
8,2019,1,BSAcctgInfoSys,1.0,3355.0,0.029806259314456036
9,2019,1,BSAeronautical,411.0,3355.0,12.25037257824143
10,2019,1,BSBA HRDM,0.0,3355.0,0.0
11,2019,1,BSBA-FinMgmt,13.0,3355.0,0.38748137108792846
12,2019,1,BSBA-HRM,0.0,3355.0,0.0
13,2019,1,BSBA-HRMgmt,20.0,3355.0,0.5961251862891207
14,2019,1,BSBA-MktgMgmt,81.0,3355.0,2.4143070044709387
15,2019,1,BSBALegal,0.0,3355.0,0.0
16,2019,1,BSCompsci,63.0,3355.0,1.8777943368107304
17,2019,1,BSCulinary,31.0,3355.0,0.9239940387481372
18,2019,1,BSED-RelValEd,17.0,3355.0,0.5067064083457526
19,2019,1,BSEMC-DA,63.0,3355.0,1.8777943368107304
20,2019,1,BSHM-Accomm,2.0,3355.0,0.05961251862891207
21,2019,1,BSHM-Culinary,6.0,3355.0,0.17883755588673622
22,2019,1,BSHM-RestFood,1.0,3355.0,0.029806259314456036
23,2019,1,BSHRM,70.0,3355.0,2.086438152011923
24,2019,1,BSITNetAdmin,30.0,3355.0,0.8941877794336811
25,2019,1,BSITWebdev,82.0,3355.0,2.444113263785395
26,2019,1,BSNEd,12.0,3355.0,0.35767511177347244
27,2019,1,BSNursing,47.0,3355.0,1.4008941877794339
28,2019,1,BSPsychology,117.0,3355.0,3.4873323397913563
29,2019,1,BSRadTech,14.0,3355.0,0.4172876304023845
30,2019,1,BSTM-DestMgmt,21.0,3355.0,0.6259314456035767
31,2019,1,BSTM-Events,10.0,3355.0,0.29806259314456035
32,2019,1,BSTM-Travel,4.0,3355.0,0.11922503725782414
33,2019,1,BSTourism,102.0,3355.0,3.040238450074516
34,2019,1,Biological,0.0,3355.0,0.0
35,2019,1,BusMgt,180.0,3355.0,5.365126676602086
36,2019,1,CE,379.0,3355.0,11.296572280178838
37,2019,1,Comp. Eng'g.,54.0,3355.0,1.609538002980626
38,2019,1,EE,52.0,3355.0,1.5499254843517138
39,2019,1,ELECENG,53.0,3355.0,1.5797317436661698
40,2019,1,English-BSED,30.0,3355.0,0.8941877794336811
41,2019,1,Fil-BSED,13.0,3355.0,0.38748137108792846
42,2019,1,IE,35.0,3355.0,1.0432190760059614
43,2019,1,ME,116.0,3355.0,3.4575260804769004
44,2019,1,Math,13.0,3355.0,0.38748137108792846
45,2019,1,Science-BSED,8.0,3355.0,0.23845007451564829
46,2019,1,SocialStud-BSED,16.0,3355.0,0.47690014903129657
